graph number,cube0_cluster0,cube0_cluster1,cube1_cluster0,cube1_cluster1,cube2_cluster0,cube2_cluster1,cube3_cluster0,cube3_cluster1,Graph Label
13409,7,11,18,4,11,7,16,6,tensor([[0]])
13410,10,11,21,12,11,10,18,15,tensor([[0]])
13411,10,10,20,11,10,10,18,13,tensor([[0]])
13412,10,10,20,8,10,10,19,9,tensor([[0]])
13413,10,11,21,8,11,10,19,10,tensor([[0]])
13414,9,8,17,9,8,9,17,9,tensor([[0]])
13415,13,9,22,6,9,13,21,7,tensor([[0]])
13416,12,11,23,8,11,12,23,8,tensor([[0]])
13417,13,9,22,6,9,13,21,7,tensor([[0]])
13418,9,10,19,9,10,9,17,11,tensor([[0]])
13419,9,9,18,8,9,9,17,9,tensor([[0]])
13420,9,10,19,4,10,9,18,5,tensor([[0]])
13421,9,9,18,6,9,9,18,6,tensor([[0]])
13422,9,7,16,5,7,9,16,5,tensor([[0]])
13423,13,8,21,9,8,13,21,9,tensor([[0]])
13424,9,9,18,9,9,9,17,10,tensor([[0]])
13425,9,8,17,8,8,9,17,8,tensor([[0]])
13426,9,9,18,4,9,9,18,4,tensor([[0]])
13427,9,8,17,6,8,9,18,5,tensor([[0]])
13428,9,6,15,5,6,9,16,4,tensor([[0]])
13429,3,3,6,4,3,3,8,2,tensor([[0]])
13430,1,9,10,10,9,1,4,16,tensor([[0]])
13431,0,14,14,9,14,0,4,19,tensor([[0]])
13432,4,22,26,12,22,4,28,10,tensor([[0]])
13433,6,22,28,10,22,6,34,4,tensor([[0]])
13434,6,14,23,6,14,6,8,21,tensor([[0]])
13435,4,8,12,7,8,4,9,10,tensor([[0]])
13436,8,10,20,4,10,8,20,4,tensor([[0]])
13437,8,10,20,4,10,8,20,4,tensor([[0]])
13438,7,12,21,4,12,7,20,5,tensor([[0]])
13439,7,12,21,4,12,7,20,5,tensor([[0]])
13440,8,9,19,5,9,8,20,4,tensor([[0]])
13441,7,10,19,6,10,7,20,5,tensor([[0]])
13442,7,10,19,9,10,7,21,7,tensor([[0]])
13443,8,9,19,5,9,8,20,4,tensor([[0]])
13444,8,9,19,5,9,8,20,4,tensor([[0]])
13445,7,10,19,6,10,7,20,5,tensor([[0]])
13446,8,9,19,5,9,8,20,4,tensor([[0]])
13447,8,9,19,5,9,8,20,4,tensor([[0]])
13448,8,11,21,4,11,8,20,5,tensor([[0]])
13449,8,13,23,4,13,8,20,7,tensor([[0]])
13450,8,9,19,5,9,8,21,3,tensor([[0]])
13451,8,11,21,4,11,8,21,4,tensor([[0]])
13452,8,10,20,5,10,8,21,4,tensor([[0]])
13453,7,10,19,12,10,7,22,9,tensor([[0]])
13454,7,10,19,6,10,7,20,5,tensor([[0]])
13455,7,10,19,6,10,7,20,5,tensor([[0]])
13456,6,13,21,5,13,6,20,6,tensor([[0]])
13457,8,11,21,5,11,8,21,5,tensor([[0]])
13458,9,9,20,4,9,9,20,4,tensor([[0]])
13459,4,11,17,5,11,4,16,6,tensor([[0]])
13460,14,11,27,5,11,14,28,4,tensor([[0]])
13461,6,14,20,3,14,6,18,5,tensor([[0]])
13462,11,7,18,4,7,11,16,6,tensor([[0]])
13463,7,6,13,10,6,7,15,8,tensor([[0]])
13464,10,8,18,6,8,10,16,8,tensor([[0]])
13465,7,11,18,4,11,7,19,3,tensor([[0]])
13466,9,8,17,5,8,9,16,6,tensor([[0]])
13467,5,12,18,6,12,5,12,12,tensor([[0]])
13468,7,12,19,3,12,7,13,9,tensor([[0]])
13469,10,10,20,4,10,10,18,6,tensor([[0]])
13470,8,10,18,5,10,8,15,8,tensor([[0]])
13471,3,19,22,2,19,3,18,6,tensor([[0]])
13472,4,17,21,1,17,4,15,7,tensor([[0]])
13473,5,12,17,5,12,5,17,5,tensor([[0]])
13474,5,11,16,7,11,5,16,7,tensor([[0]])
13475,4,14,18,2,14,4,7,13,tensor([[0]])
13476,10,7,18,5,7,10,19,4,tensor([[0]])
13477,15,23,39,10,23,15,36,13,tensor([[0]])
13478,1,6,7,8,6,1,7,8,tensor([[0]])
13479,3,19,22,5,19,3,10,17,tensor([[0]])
13480,3,18,21,3,18,3,9,15,tensor([[0]])
13481,4,15,19,7,15,4,11,15,tensor([[0]])
13482,4,20,24,9,20,4,13,20,tensor([[0]])
13483,4,15,19,6,15,4,11,14,tensor([[0]])
13484,6,36,42,10,36,6,20,32,tensor([[0]])
13485,6,36,42,10,36,6,20,32,tensor([[0]])
13486,2,22,24,5,22,2,11,18,tensor([[0]])
13487,4,15,19,2,15,4,8,13,tensor([[0]])
13488,3,19,22,5,19,3,10,17,tensor([[0]])
13489,4,18,22,3,18,4,10,15,tensor([[0]])
13490,4,12,16,10,12,4,11,15,tensor([[0]])
13491,15,12,27,5,12,15,25,7,tensor([[0]])
13492,27,60,88,14,60,27,35,67,tensor([[0]])
13493,8,22,31,14,22,8,16,29,tensor([[0]])
13494,32,66,100,13,66,32,40,73,tensor([[0]])
13495,4,6,10,2,6,4,6,6,tensor([[0]])
13496,4,7,11,2,7,4,6,7,tensor([[0]])
13497,3,9,12,2,9,3,5,9,tensor([[0]])
13498,4,9,13,2,9,4,6,9,tensor([[0]])
13499,4,9,13,2,9,4,6,9,tensor([[0]])
13500,4,8,12,2,8,4,6,8,tensor([[0]])
13501,4,17,21,6,17,4,17,10,tensor([[0]])
13502,5,6,11,6,6,5,11,6,tensor([[0]])
13503,7,15,22,4,15,7,15,11,tensor([[0]])
13504,7,14,21,4,14,7,15,10,tensor([[0]])
13505,11,19,30,2,19,11,26,6,tensor([[0]])
13506,11,18,29,2,18,11,22,9,tensor([[0]])
13507,5,15,20,13,15,5,19,14,tensor([[0]])
13508,14,8,23,7,8,14,19,11,tensor([[0]])
13509,12,12,24,8,12,12,21,11,tensor([[0]])
13510,12,12,24,8,12,12,21,11,tensor([[0]])
13511,13,12,25,8,12,13,26,7,tensor([[0]])
13512,15,13,28,1,13,15,26,3,tensor([[0]])
13513,12,14,26,6,14,12,23,9,tensor([[0]])
13514,12,13,25,6,13,12,24,7,tensor([[0]])
13515,11,18,29,4,18,11,29,4,tensor([[0]])
13516,12,12,24,5,12,12,27,2,tensor([[0]])
13517,14,10,24,7,10,14,28,3,tensor([[0]])
13518,4,17,21,8,17,4,10,19,tensor([[0]])
13519,5,21,26,6,21,5,19,13,tensor([[0]])
13520,12,13,25,5,13,12,21,9,tensor([[0]])
13521,7,21,28,1,21,7,18,11,tensor([[0]])
13522,13,9,22,5,9,13,25,2,tensor([[0]])
13523,10,12,22,8,12,10,20,10,tensor([[0]])
13524,10,13,23,7,13,10,19,11,tensor([[0]])
13525,12,16,28,2,16,12,26,4,tensor([[0]])
13526,4,8,14,5,8,4,11,8,tensor([[0]])
13527,4,6,10,7,6,4,15,2,tensor([[0]])
13528,10,7,17,5,7,10,17,5,tensor([[0]])
13529,4,6,10,7,6,4,10,7,tensor([[0]])
13530,14,8,22,6,8,14,23,5,tensor([[0]])
13531,9,7,16,6,7,9,16,6,tensor([[0]])
13532,5,5,10,6,5,5,10,6,tensor([[0]])
13533,9,6,15,7,6,9,17,5,tensor([[0]])
13534,19,11,30,13,11,19,33,10,tensor([[0]])
13535,10,6,17,2,6,10,15,4,tensor([[0]])
13536,10,6,16,6,6,10,13,9,tensor([[0]])
13537,14,13,28,6,13,14,23,11,tensor([[0]])
13538,0,12,13,6,12,0,2,17,tensor([[0]])
13539,0,10,10,8,10,0,2,16,tensor([[0]])
13540,10,6,17,3,6,10,15,5,tensor([[0]])
13541,8,12,20,8,12,8,20,8,tensor([[0]])
13542,13,10,23,10,10,13,22,11,tensor([[0]])
13543,0,11,11,4,11,0,1,14,tensor([[0]])
13544,0,10,10,8,10,0,5,13,tensor([[0]])
13545,0,12,12,4,12,0,1,15,tensor([[0]])
13546,0,12,12,4,12,0,1,15,tensor([[0]])
13547,1,12,13,4,12,1,2,15,tensor([[0]])
13548,4,6,10,4,6,4,7,7,tensor([[0]])
13549,1,12,13,4,12,1,2,15,tensor([[0]])
13550,0,8,8,7,8,0,2,13,tensor([[0]])
13551,0,11,11,5,11,0,3,13,tensor([[0]])
13552,0,13,13,6,13,0,1,18,tensor([[0]])
13553,0,10,10,6,10,0,3,13,tensor([[0]])
13554,0,12,12,8,12,0,5,15,tensor([[0]])
13555,1,10,11,4,10,1,2,13,tensor([[0]])
13556,1,18,19,37,18,1,8,48,tensor([[0]])
13557,8,10,18,8,10,8,14,12,tensor([[0]])
13558,7,12,20,8,12,7,15,13,tensor([[0]])
13559,7,12,19,8,12,7,14,13,tensor([[0]])
13560,1,11,12,8,11,1,11,9,tensor([[0]])
13561,1,11,12,8,11,1,12,8,tensor([[0]])
13562,6,15,21,3,15,6,7,17,tensor([[0]])
13563,1,14,15,4,14,1,1,18,tensor([[0]])
13564,11,18,32,5,18,11,26,11,tensor([[0]])
13565,6,15,21,15,15,6,18,18,tensor([[0]])
13566,0,9,9,3,9,0,1,11,tensor([[0]])
13567,3,14,17,4,14,3,7,14,tensor([[0]])
13568,3,14,17,4,14,3,7,14,tensor([[0]])
13569,3,14,17,4,14,3,7,14,tensor([[0]])
13570,1,11,12,3,11,1,5,10,tensor([[0]])
13571,10,10,21,4,10,10,21,4,tensor([[0]])
13572,1,10,13,5,10,1,4,14,tensor([[0]])
13573,1,19,20,7,19,1,4,23,tensor([[0]])
13574,1,9,12,6,9,1,2,16,tensor([[1]])
13575,0,11,11,8,11,0,6,13,tensor([[0]])
13576,1,11,12,6,11,1,4,14,tensor([[0]])
13577,1,13,15,5,13,1,2,18,tensor([[0]])
13578,0,9,9,10,9,0,5,14,tensor([[0]])
13579,0,16,17,4,16,0,4,17,tensor([[0]])
13580,1,6,8,6,6,1,5,9,tensor([[0]])
13581,1,8,9,6,8,1,4,11,tensor([[0]])
13582,1,9,11,4,9,1,2,13,tensor([[0]])
13583,0,10,12,4,10,0,5,11,tensor([[0]])
13584,0,13,13,9,13,0,6,16,tensor([[0]])
13585,0,13,13,10,13,0,5,18,tensor([[0]])
13586,1,24,25,4,24,1,5,24,tensor([[0]])
13587,1,8,9,1,8,1,4,6,tensor([[0]])
13588,0,5,5,8,5,0,5,8,tensor([[0]])
13589,5,8,13,11,8,5,12,12,tensor([[0]])
13590,1,10,11,7,10,1,6,12,tensor([[0]])
13591,0,10,10,6,10,0,4,12,tensor([[1]])
13592,3,10,13,3,10,3,4,12,tensor([[0]])
13593,3,12,15,3,12,3,4,14,tensor([[0]])
13594,3,18,21,3,18,3,4,20,tensor([[0]])
13595,0,2,2,7,2,0,5,4,tensor([[0]])
13596,10,17,27,4,17,10,23,8,tensor([[0]])
13597,15,5,20,9,5,15,23,6,tensor([[0]])
13598,13,8,21,7,8,13,21,7,tensor([[0]])
13599,10,10,21,11,10,10,20,12,tensor([[0]])
13600,14,11,25,1,11,14,24,2,tensor([[0]])
13601,5,20,25,5,20,5,19,11,tensor([[0]])
13602,5,16,21,7,16,5,9,19,tensor([[0]])
13603,13,8,21,7,8,13,21,7,tensor([[0]])
13604,13,12,25,6,12,13,22,9,tensor([[0]])
13605,7,19,26,7,19,7,24,9,tensor([[0]])
13606,10,12,22,5,12,10,19,8,tensor([[0]])
13607,4,15,19,11,15,4,18,12,tensor([[0]])
13608,10,13,23,5,13,10,20,8,tensor([[0]])
13609,8,10,18,11,10,8,16,13,tensor([[0]])
13610,1,19,20,12,19,1,17,15,tensor([[0]])
13611,11,12,24,2,12,11,18,8,tensor([[0]])
13612,4,18,22,4,18,4,12,14,tensor([[0]])
13613,9,9,18,8,9,9,13,13,tensor([[0]])
13614,4,21,25,4,21,4,17,12,tensor([[1]])
13615,16,52,68,74,52,16,45,97,tensor([[1]])
13616,2,24,26,7,24,2,6,27,tensor([[0]])
13617,0,27,27,8,27,0,6,29,tensor([[0]])
13618,0,22,22,4,22,0,0,26,tensor([[0]])
13619,1,23,24,5,23,1,4,25,tensor([[0]])
13620,4,14,19,1,14,4,5,15,tensor([[0]])
13621,4,17,21,2,17,4,18,5,tensor([[0]])
13622,2,10,12,10,10,2,14,8,tensor([[0]])
13623,2,8,10,5,8,2,9,6,tensor([[0]])
13624,4,9,13,7,9,4,16,4,tensor([[0]])
13625,2,4,6,4,4,2,3,7,tensor([[0]])
13626,18,10,28,12,10,18,29,11,tensor([[0]])
13627,4,15,19,9,15,4,16,12,tensor([[0]])
13628,9,11,21,6,11,9,18,9,tensor([[0]])
13629,5,12,21,3,12,5,15,9,tensor([[0]])
13630,2,9,11,6,9,2,9,8,tensor([[0]])
13631,4,8,12,4,8,4,13,3,tensor([[0]])
13632,7,7,16,1,7,7,11,6,tensor([[0]])
13633,5,9,16,2,9,5,12,6,tensor([[0]])
13634,5,7,12,3,7,5,13,2,tensor([[0]])
13635,3,8,11,6,8,3,9,8,tensor([[0]])
13636,3,4,8,7,4,3,11,4,tensor([[0]])
13637,3,8,11,7,8,3,11,7,tensor([[0]])
13638,3,8,12,6,8,3,11,7,tensor([[0]])
13639,2,7,11,7,7,2,12,6,tensor([[0]])
13640,2,14,16,8,14,2,12,12,tensor([[0]])
13641,2,12,16,8,12,2,12,12,tensor([[0]])
13642,2,13,15,7,13,2,12,10,tensor([[0]])
13643,4,5,9,6,5,4,11,4,tensor([[0]])
13644,1,9,10,5,9,1,12,3,tensor([[0]])
13645,1,9,10,5,9,1,12,3,tensor([[0]])
13646,0,7,7,8,7,0,10,5,tensor([[0]])
13647,0,9,10,7,9,0,11,6,tensor([[0]])
13648,0,11,12,7,11,0,11,8,tensor([[0]])
13649,0,12,12,8,12,0,11,9,tensor([[0]])
13650,0,7,7,8,7,0,10,5,tensor([[0]])
13651,0,7,7,8,7,0,10,5,tensor([[0]])
13652,0,6,6,10,6,0,10,6,tensor([[0]])
13653,0,6,6,10,6,0,10,6,tensor([[0]])
13654,6,15,21,7,15,6,22,6,tensor([[0]])
13655,3,10,13,11,10,3,15,9,tensor([[0]])
13656,2,7,9,6,7,2,11,4,tensor([[0]])
13657,2,7,9,6,7,2,11,4,tensor([[0]])
13658,3,5,8,7,5,3,11,4,tensor([[0]])
13659,2,7,9,7,7,2,11,5,tensor([[0]])
13660,2,7,9,7,7,2,11,5,tensor([[0]])
13661,3,6,9,7,6,3,11,5,tensor([[0]])
13662,2,8,10,7,8,2,11,6,tensor([[0]])
13663,2,8,10,7,8,2,11,6,tensor([[0]])
13664,2,9,12,7,9,2,11,8,tensor([[0]])
13665,2,9,12,7,9,2,11,8,tensor([[0]])
13666,2,10,12,7,10,2,11,8,tensor([[0]])
13667,2,10,12,7,10,2,11,8,tensor([[0]])
13668,3,9,12,7,9,3,11,8,tensor([[0]])
13669,2,11,13,7,11,2,11,9,tensor([[0]])
13670,2,10,12,8,10,2,11,9,tensor([[0]])
13671,3,8,11,6,8,3,11,6,tensor([[0]])
13672,2,9,11,7,9,2,11,7,tensor([[0]])
13673,2,9,11,7,9,2,11,7,tensor([[0]])
13674,2,7,10,6,7,2,11,5,tensor([[0]])
13675,2,7,10,6,7,2,11,5,tensor([[0]])
13676,3,7,11,6,7,3,11,6,tensor([[0]])
13677,3,4,7,10,4,3,10,7,tensor([[0]])
13678,3,9,12,9,9,3,10,11,tensor([[0]])
13679,7,6,13,9,6,7,16,6,tensor([[0]])
13680,3,13,16,4,13,3,4,16,tensor([[0]])
13681,8,6,15,4,6,8,16,3,tensor([[0]])
13682,8,6,15,4,6,8,16,3,tensor([[0]])
13683,8,6,15,4,6,8,16,3,tensor([[0]])
13684,13,11,26,3,11,13,20,9,tensor([[0]])
13685,12,12,26,4,12,12,20,10,tensor([[0]])
13686,12,13,27,3,13,12,20,10,tensor([[0]])
13687,12,12,26,4,12,12,20,10,tensor([[0]])
13688,12,12,26,4,12,12,20,10,tensor([[0]])
13689,12,12,26,4,12,12,20,10,tensor([[0]])
13690,13,10,25,10,10,13,22,13,tensor([[0]])
13691,12,11,25,11,11,12,22,14,tensor([[0]])
13692,12,12,26,10,12,12,22,14,tensor([[0]])
13693,12,11,25,11,11,12,22,14,tensor([[0]])
13694,12,11,25,11,11,12,22,14,tensor([[0]])
13695,11,13,26,11,13,11,22,15,tensor([[0]])
13696,8,19,28,14,19,8,23,19,tensor([[0]])
13697,8,20,29,13,20,8,23,19,tensor([[0]])
13698,8,19,28,14,19,8,23,19,tensor([[0]])
13699,7,20,28,15,20,7,23,20,tensor([[0]])
13700,1,14,15,14,14,1,7,22,tensor([[0]])
13701,1,9,11,5,9,1,3,13,tensor([[0]])
13702,0,9,10,11,9,0,4,17,tensor([[1]])
13703,13,13,26,6,13,13,27,5,tensor([[0]])
13704,6,19,26,10,19,6,19,17,tensor([[0]])
13705,5,6,13,1,6,5,10,4,tensor([[0]])
13706,1,3,6,6,3,1,6,6,tensor([[0]])
13707,9,6,15,11,6,9,18,8,tensor([[0]])
13708,6,13,19,6,13,6,17,8,tensor([[0]])
13709,2,7,9,6,7,2,11,4,tensor([[0]])
13710,2,9,11,8,9,2,12,7,tensor([[0]])
13711,2,7,9,6,7,2,11,4,tensor([[0]])
13712,3,5,8,7,5,3,11,4,tensor([[0]])
13713,2,6,8,8,6,2,11,5,tensor([[0]])
13714,2,7,9,7,7,2,11,5,tensor([[0]])
13715,2,9,11,9,9,2,12,8,tensor([[0]])
13716,2,7,9,7,7,2,11,5,tensor([[0]])
13717,1,8,9,8,8,1,11,6,tensor([[0]])
13718,3,12,15,7,12,3,11,11,tensor([[0]])
13719,2,13,15,8,13,2,11,12,tensor([[0]])
13720,2,14,16,7,14,2,11,12,tensor([[0]])
13721,2,16,18,9,16,2,12,15,tensor([[0]])
13722,2,14,16,7,14,2,11,12,tensor([[0]])
13723,1,15,16,8,15,1,11,13,tensor([[0]])
13724,3,16,19,7,16,3,11,15,tensor([[0]])
13725,2,17,19,8,17,2,11,16,tensor([[0]])
13726,6,8,14,8,8,6,17,5,tensor([[1]])
13727,3,8,13,3,8,3,6,10,tensor([[0]])
13728,3,9,15,4,9,3,11,8,tensor([[0]])
13729,7,15,22,5,15,7,15,12,tensor([[0]])
13730,14,10,24,19,10,14,32,11,tensor([[0]])
13731,14,12,26,15,12,14,34,7,tensor([[0]])
13732,0,7,7,8,7,0,4,11,tensor([[0]])
13733,4,9,13,13,9,4,13,13,tensor([[0]])
13734,8,4,12,12,4,8,16,8,tensor([[0]])
13735,8,8,16,6,8,8,18,4,tensor([[0]])
13736,10,9,20,0,9,10,17,3,tensor([[0]])
13737,3,14,17,8,14,3,16,9,tensor([[0]])
13738,4,13,17,2,13,4,7,12,tensor([[0]])
13739,8,10,18,3,10,8,18,3,tensor([[0]])
13740,9,9,18,3,9,9,15,6,tensor([[0]])
13741,8,10,18,3,10,8,14,7,tensor([[0]])
13742,8,7,15,7,7,8,15,7,tensor([[0]])
13743,8,10,18,3,10,8,19,2,tensor([[0]])
13744,10,8,20,3,8,10,14,9,tensor([[0]])
13745,6,10,16,7,10,6,15,8,tensor([[0]])
13746,5,11,16,5,11,5,11,10,tensor([[0]])
13747,6,12,18,3,12,6,15,6,tensor([[0]])
13748,0,11,11,16,11,0,12,15,tensor([[0]])
13749,6,7,13,8,7,6,14,7,tensor([[0]])
13750,8,7,15,5,7,8,18,2,tensor([[0]])
13751,9,6,15,6,6,9,18,3,tensor([[0]])
13752,8,8,16,3,8,8,18,1,tensor([[0]])
13753,9,5,14,6,5,9,17,3,tensor([[0]])
13754,5,10,15,8,10,5,17,6,tensor([[0]])
13755,7,11,19,6,11,7,16,9,tensor([[0]])
13756,8,11,19,5,11,8,15,9,tensor([[0]])
13757,8,10,18,7,10,8,15,10,tensor([[0]])
13758,4,6,10,9,6,4,12,7,tensor([[0]])
13759,4,7,11,11,7,4,13,9,tensor([[0]])
13760,5,30,35,15,30,5,16,34,tensor([[0]])
13761,6,30,36,15,30,6,18,33,tensor([[0]])
13762,6,32,38,17,32,6,19,36,tensor([[0]])
13763,5,34,39,19,34,5,19,39,tensor([[0]])
13764,6,30,36,15,30,6,17,34,tensor([[0]])
13765,7,28,35,13,28,7,17,31,tensor([[0]])
13766,7,10,17,7,10,7,11,13,tensor([[0]])
13767,5,9,15,6,9,5,14,7,tensor([[0]])
13768,5,11,17,6,11,5,17,6,tensor([[0]])
13769,5,15,20,7,15,5,16,11,tensor([[0]])
13770,3,13,16,4,13,3,7,13,tensor([[0]])
13771,3,13,16,4,13,3,7,13,tensor([[0]])
13772,3,11,14,6,11,3,7,13,tensor([[0]])
13773,13,7,20,4,7,13,19,5,tensor([[0]])
13774,2,13,15,6,13,2,7,14,tensor([[0]])
13775,3,14,17,4,14,3,9,12,tensor([[0]])
13776,17,7,24,0,7,17,20,4,tensor([[0]])
13777,18,8,26,0,8,18,22,4,tensor([[0]])
13778,12,8,20,1,8,12,15,6,tensor([[0]])
13779,7,9,16,6,9,7,11,11,tensor([[0]])
13780,22,7,29,1,7,22,30,0,tensor([[0]])
13781,21,7,28,2,7,21,29,1,tensor([[0]])
13782,13,16,29,2,16,13,23,8,tensor([[0]])
13783,14,13,27,4,13,14,24,7,tensor([[0]])
13784,23,12,35,2,12,23,35,2,tensor([[0]])
13785,23,10,33,4,10,23,35,2,tensor([[0]])
13786,23,10,33,2,10,23,35,0,tensor([[0]])
13787,22,9,31,4,9,22,35,0,tensor([[0]])
13788,13,12,25,2,12,13,25,2,tensor([[0]])
13789,13,9,22,5,9,13,25,2,tensor([[0]])
13790,6,4,10,4,4,6,14,0,tensor([[0]])
13791,6,4,10,4,4,6,13,1,tensor([[0]])
13792,4,6,10,5,6,4,6,9,tensor([[0]])
13793,1,5,6,7,5,1,7,6,tensor([[0]])
13794,6,6,12,6,6,6,13,5,tensor([[0]])
13795,6,6,12,6,6,6,13,5,tensor([[0]])
13796,1,5,6,9,5,1,8,7,tensor([[0]])
13797,8,11,19,7,11,8,14,12,tensor([[0]])
13798,1,36,37,37,36,1,15,59,tensor([[0]])
13799,9,48,57,57,48,9,30,84,tensor([[0]])
13800,8,54,62,58,54,8,29,91,tensor([[0]])
13801,9,35,44,44,35,9,30,58,tensor([[0]])
13802,6,16,22,19,16,6,15,26,tensor([[0]])
13803,6,9,17,9,9,6,15,11,tensor([[0]])
13804,10,4,14,3,4,10,14,3,tensor([[0]])
13805,3,13,16,4,13,3,10,10,tensor([[0]])
13806,8,14,22,4,14,8,16,10,tensor([[0]])
13807,8,15,23,6,15,8,17,12,tensor([[0]])
13808,8,15,23,6,15,8,17,12,tensor([[0]])
13809,5,22,27,6,22,5,20,13,tensor([[0]])
13810,3,11,14,5,11,3,12,7,tensor([[0]])
13811,3,12,15,7,12,3,12,10,tensor([[0]])
13812,3,11,14,6,11,3,9,11,tensor([[0]])
13813,8,14,22,8,14,8,16,14,tensor([[0]])
13814,8,12,20,9,12,8,17,12,tensor([[0]])
13815,1,26,27,9,26,1,4,32,tensor([[0]])
13816,6,24,30,12,24,6,10,32,tensor([[0]])
13817,0,22,22,11,22,0,4,29,tensor([[0]])
13818,0,21,21,13,21,0,5,29,tensor([[0]])
13819,1,27,28,10,27,1,5,33,tensor([[0]])
13820,8,11,19,7,11,8,19,7,tensor([[0]])
13821,9,8,17,4,8,9,20,1,tensor([[0]])
13822,14,8,22,3,8,14,24,1,tensor([[0]])
13823,4,13,19,5,13,4,14,10,tensor([[0]])
13824,4,14,21,4,14,4,13,12,tensor([[0]])
13825,3,13,19,4,13,3,12,11,tensor([[0]])
13826,4,12,18,6,12,4,14,10,tensor([[0]])
13827,3,11,16,6,11,3,13,9,tensor([[0]])
13828,4,13,20,5,13,4,13,12,tensor([[0]])
13829,3,12,18,5,12,3,12,11,tensor([[0]])
13830,0,24,26,14,24,0,11,29,tensor([[0]])
13831,0,22,23,16,22,0,12,27,tensor([[0]])
13832,0,23,25,15,23,0,11,29,tensor([[0]])
13833,0,44,46,24,44,0,24,46,tensor([[0]])
13834,0,46,50,22,46,0,22,50,tensor([[0]])
13835,0,42,44,26,42,0,24,46,tensor([[0]])
13836,0,44,48,24,44,0,22,50,tensor([[0]])
13837,0,22,24,14,22,0,11,27,tensor([[0]])
13838,0,19,21,12,19,0,10,23,tensor([[0]])
13839,1,17,19,13,17,1,12,20,tensor([[0]])
13840,1,18,21,12,18,1,9,24,tensor([[0]])
13841,0,21,22,14,21,0,12,24,tensor([[0]])
13842,9,9,18,5,9,9,19,4,tensor([[0]])
13843,8,11,19,5,11,8,19,5,tensor([[0]])
13844,3,11,14,5,11,3,13,6,tensor([[0]])
13845,8,10,18,6,10,8,19,5,tensor([[0]])
13846,9,9,18,7,9,9,19,6,tensor([[0]])
13847,4,5,9,5,5,4,9,5,tensor([[0]])
13848,9,8,17,6,8,9,19,4,tensor([[0]])
13849,7,8,15,4,8,7,14,5,tensor([[0]])
13850,8,9,17,7,9,8,19,5,tensor([[0]])
13851,10,8,18,8,8,10,17,9,tensor([[0]])
13852,12,8,20,9,8,12,18,11,tensor([[0]])
13853,10,8,18,8,8,10,17,9,tensor([[0]])
13854,12,9,21,8,9,12,18,11,tensor([[0]])
13855,17,10,27,11,10,17,22,16,tensor([[0]])
13856,15,10,25,10,10,15,21,14,tensor([[0]])
13857,2,13,18,4,13,2,12,10,tensor([[0]])
13858,13,13,26,10,13,13,21,15,tensor([[0]])
13859,10,3,13,14,3,10,17,10,tensor([[0]])
13860,6,11,17,4,11,6,18,3,tensor([[0]])
13861,3,20,23,6,20,3,16,13,tensor([[0]])
13862,12,2,14,6,2,12,14,6,tensor([[0]])
13863,9,6,15,4,6,9,13,6,tensor([[0]])
13864,9,9,18,3,9,9,15,6,tensor([[0]])
13865,8,7,15,7,7,8,16,6,tensor([[0]])
13866,10,4,14,6,4,10,15,5,tensor([[0]])
13867,9,5,14,3,5,9,15,2,tensor([[0]])
13868,0,6,7,3,6,0,1,9,tensor([[0]])
13869,6,14,21,7,14,6,12,16,tensor([[0]])
13870,8,10,19,3,10,8,13,9,tensor([[0]])
13871,12,6,19,3,6,12,19,3,tensor([[0]])
13872,10,8,18,6,8,10,13,11,tensor([[0]])
13873,5,5,11,2,5,5,8,5,tensor([[1]])
13874,4,42,46,33,42,4,20,59,tensor([[0]])
13875,2,8,10,1,8,2,2,9,tensor([[0]])
13876,6,9,17,4,9,6,16,5,tensor([[0]])
13877,5,11,16,7,11,5,16,7,tensor([[0]])
13878,8,8,16,3,8,8,16,3,tensor([[0]])
13879,5,20,25,4,20,5,17,12,tensor([[0]])
13880,5,17,22,3,17,5,18,7,tensor([[0]])
13881,0,11,11,5,11,0,2,14,tensor([[0]])
13882,0,10,10,7,10,0,4,13,tensor([[0]])
13883,10,7,17,6,7,10,21,2,tensor([[0]])
13884,12,6,18,7,6,12,24,1,tensor([[0]])
13885,12,6,18,5,6,12,20,3,tensor([[0]])
13886,4,8,12,7,8,4,9,10,tensor([[0]])
13887,4,6,10,8,6,4,11,7,tensor([[0]])
13888,7,9,16,3,9,7,18,1,tensor([[0]])
13889,0,9,9,9,9,0,8,10,tensor([[0]])
13890,6,9,15,4,9,6,15,4,tensor([[0]])
13891,5,3,9,7,3,5,11,5,tensor([[0]])
13892,7,6,13,6,6,7,17,2,tensor([[0]])
13893,8,4,12,7,4,8,14,5,tensor([[0]])
13894,5,3,8,6,3,5,10,4,tensor([[0]])
13895,5,4,9,5,4,5,10,4,tensor([[0]])
13896,1,16,17,6,16,1,13,10,tensor([[0]])
13897,1,16,17,5,16,1,11,11,tensor([[0]])
13898,5,9,14,5,9,5,14,5,tensor([[0]])
13899,4,13,17,4,13,4,18,3,tensor([[0]])
13900,8,7,15,5,7,8,14,6,tensor([[0]])
13901,7,7,15,4,7,7,15,4,tensor([[0]])
13902,7,6,14,3,6,7,14,3,tensor([[0]])
13903,7,6,14,2,6,7,14,2,tensor([[0]])
13904,6,10,17,4,10,6,15,6,tensor([[0]])
13905,7,7,15,5,7,7,15,5,tensor([[0]])
